study_hours,attendance,assignments,quiz_score,final_score,result
8,99,86,33,100.0,1
7,83,47,51,77.50003669018153,1
9,83,76,70,100.0,1
8,44,78,57,88.89059881221122,1
5,78,43,42,69.7853927524057,1
2,43,44,82,63.46735606445197,1
5,45,60,34,72.4070874916454,1
8,84,30,44,84.55997368757669,1
9,71,83,36,89.85192489902782,1
9,91,32,85,100.0,1
1,69,45,97,88.40649147922791,1
9,86,86,72,100.0,1
7,74,41,70,88.64374048617921,1
9,94,45,58,100.0,1
8,79,53,70,100.0,1
1,91,57,89,71.96931015046675,1
8,55,37,25,85.14040461002769,1
8,52,65,86,100.0,1
3,89,37,26,83.98878340269917,1
1,99,87,70,86.68657857527587,1
8,81,89,91,100.0,1
3,69,79,61,61.26982439153099,1
3,58,57,83,71.09859115910037,1
1,56,70,34,67.09859619760715,1
5,95,93,48,98.82815065629137,1
7,58,56,52,100.0,1
9,67,92,46,100.0,1
7,97,46,55,96.94296239741041,1
9,94,62,48,100.0,1
8,65,58,57,100.0,1
2,76,42,76,73.35738800723712,1
1,65,75,46,52.20895899501553,0
7,92,64,74,85.32384335234507,1
7,62,35,52,76.86334330197296,1
8,48,98,87,100.0,1
5,51,76,85,100.0,1
3,92,54,29,57.35629055929973,1
8,40,95,24,76.92290994374956,1
6,97,39,93,92.20755125411355,1
3,97,85,57,85.64682671477297,1
1,40,59,32,39.454650703577876,0
3,86,34,50,84.3572942874446,1
5,73,62,66,91.53476159414986,1
3,71,94,71,91.94135977343623,1
1,93,47,75,73.78327245917403,1
5,87,78,34,90.01174920189203,1
7,64,40,48,76.756718343655,1
7,79,55,27,86.00206093531838,1
9,84,92,24,100.0,1
3,92,88,48,88.16075010299647,1
7,40,56,66,86.10268717174864,1
1,55,78,87,72.915408290281,1
4,78,62,95,98.06876013652926,1
4,44,30,64,73.1907887397257,1
5,61,50,21,45.424726580826785,0
7,68,84,46,100.0,1
7,94,35,55,93.45612688228064,1
4,42,98,55,81.48810840241282,1
7,51,34,45,67.87586588548999,1
3,65,32,62,62.78622299030633,1
6,55,82,46,91.87306041465307,1
2,90,52,88,86.11788473904889,1
9,76,82,39,97.1286003272143,1
5,61,66,30,74.73563493371522,1
6,96,46,93,100.0,1
4,68,30,57,57.328249386759516,1
7,53,80,25,84.52480696576984,1
9,67,74,91,100.0,1
7,44,33,42,75.47620789375503,1
1,86,91,66,65.36992795156333,1
1,88,94,65,84.95375391839545,1
9,69,61,31,71.50184625806314,1
9,85,63,32,100.0,1
4,91,68,81,100.0,1
9,44,55,79,98.10061517204603,1
3,51,63,62,51.17332801006164,0
7,55,83,95,100.0,1
6,65,32,87,92.19009261060276,1
8,65,79,24,68.28136257960261,1
9,87,41,56,100.0,1
5,60,94,91,100.0,1
1,78,83,50,71.53154697062888,1
3,75,34,28,55.7464517693798,1
8,72,86,70,100.0,1
6,69,46,48,71.20585960250345,1
8,76,76,97,100.0,1
9,62,52,59,92.77007870126053,1
4,97,43,60,91.25494768417256,1
1,49,95,30,58.148945497677,1
1,93,80,42,87.18003233997474,1
4,44,67,20,64.86482438271226,1
7,75,93,65,100.0,1
2,73,67,40,65.48566067964785,1
3,91,79,55,85.70361501290297,1
1,70,59,73,90.21320579909178,1
5,49,80,76,90.4670711646297,1
1,97,92,20,67.4377935416524,1
8,58,81,82,100.0,1
1,97,67,73,78.28363941612697,1
1,71,59,74,61.92103734258281,1
2,40,80,59,62.87485649143059,1
2,95,34,34,46.8173054858355,0
6,44,58,40,78.78368808923169,1
7,84,33,66,100.0,1
5,43,39,92,87.50246626421598,1
1,55,85,72,79.34627930163653,1
1,63,46,28,43.505286448949036,0
3,55,46,93,76.84224080107015,1
2,94,98,71,100.0,1
5,41,63,76,93.67534693759478,1
6,88,35,45,60.954540146960355,1
7,67,82,60,97.85890998764746,1
4,71,95,54,79.71972658792572,1
7,66,72,82,100.0,1
8,59,52,44,79.41568432953741,1
1,63,84,94,88.96579629258599,1
6,51,45,57,75.96085264866527,1
8,89,37,21,75.00859306179161,1
5,74,33,26,72.47388428338714,1
4,99,33,53,81.73178660669247,1
2,72,85,36,60.301053496995664,1
6,72,54,62,84.36453267186579,1
6,90,96,78,100.0,1
1,82,96,70,89.92419571702766,1
9,76,56,73,100.0,1
6,51,61,43,74.72009333097836,1
3,42,79,44,85.82806040086969,1
4,40,90,90,91.73451911478656,1
4,72,80,71,100.0,1
3,79,48,89,100.0,1
3,49,50,52,81.52416275055465,1
3,82,34,68,68.7692802793057,1
4,83,71,48,79.53444125937239,1
7,68,90,82,100.0,1
4,52,51,41,75.54753191926203,1
9,51,50,45,82.61316227327912,1
1,70,99,47,79.21215493342875,1
8,85,30,68,100.0,1
7,41,34,90,93.78970469285824,1
2,90,41,68,87.08659734164335,1
8,89,75,39,99.99679869726606,1
1,74,63,82,87.78085718608303,1
9,62,78,80,100.0,1
9,56,74,68,100.0,1
2,65,56,90,91.41145529257608,1
7,47,55,20,71.49840244333748,1
3,68,76,32,68.87307664128367,1
7,65,85,70,100.0,1
9,49,92,75,100.0,1
4,65,77,81,84.03414195746151,1
1,73,90,51,60.11656990269027,1
2,90,55,49,78.22166505163828,1
1,80,65,48,72.9009638414307,1
5,46,30,68,78.03762778991867,1
5,43,37,64,70.97047778097195,1
7,97,81,49,100.0,1
9,92,76,35,100.0,1
9,89,85,59,100.0,1
3,84,43,38,46.65586294524844,0
3,50,57,37,54.91079880751453,0
3,68,31,20,42.122267370151604,0
4,95,55,97,100.0,1
8,75,43,66,74.08705013434799,1
6,64,88,85,100.0,1
8,60,85,57,100.0,1
1,96,36,70,86.3411274954764,1
8,75,32,82,100.0,1
4,49,52,23,58.515067348266925,1
1,76,47,20,28.262769292882037,0
8,48,67,27,73.30110517664868,1
4,63,44,48,63.67608923386262,1
6,74,93,74,94.87545205546533,1
8,88,57,22,96.28584281859371,1
4,74,68,51,65.12573502725594,1
3,87,86,29,91.96327508453713,1
9,75,46,93,100.0,1
3,57,73,53,69.65939738140493,1
9,88,54,74,100.0,1
2,78,46,51,63.73716521929576,1
2,71,42,69,79.73824800361692,1
2,63,54,26,63.80677338564759,1
6,62,97,27,85.29996992120066,1
3,71,39,84,86.72116709781062,1
9,76,96,76,100.0,1
4,51,47,86,89.7071396689034,1
1,88,63,78,82.00762078923981,1
4,94,37,91,86.04205511248644,1
1,52,69,73,71.97962890656888,1
5,62,71,86,95.96817482013927,1
4,64,70,70,81.26504418181942,1
8,74,35,27,65.25508792400431,1
8,80,81,53,100.0,1
7,69,55,54,82.32525993674656,1
3,56,93,97,96.56891827697301,1
1,88,88,51,85.13124275217288,1
1,59,85,65,80.71116101268377,1
3,87,88,35,66.12233352138746,1
6,64,99,87,100.0,1
7,61,62,56,92.39780698264154,1
6,52,82,73,100.0,1
6,98,51,33,95.11145000872274,1
6,58,50,74,75.74251274290164,1
3,88,99,67,100.0,1
6,75,99,26,98.851972516237,1
8,51,33,93,100.0,1
2,80,91,26,62.54587856305809,1
5,58,91,52,100.0,1
1,51,53,42,58.12409280927022,1
1,48,84,38,78.04544273728227,1
5,46,38,38,75.41478429473507,1
3,67,32,55,69.15134660223305,1
4,53,60,48,64.92299088526372,1
3,70,69,79,88.05895121847499,1
1,91,65,21,50.890875472064465,0
1,58,53,20,29.9348104435073,0
5,97,35,66,94.25281574959703,1
6,86,95,88,100.0,1
3,55,33,39,51.06696505448553,0
9,92,35,30,100.0,1
5,44,80,21,49.92417214138266,0
8,74,91,86,100.0,1
1,51,86,31,72.7252023540541,1
5,64,95,39,81.9596941901894,1
3,91,37,24,54.16943494857119,0
1,98,55,56,79.50765175844401,1
4,60,80,57,87.95991109959535,1
5,75,74,28,54.975886565404934,0
7,92,73,72,100.0,1
1,62,34,63,58.584504519525396,1
3,55,99,43,62.15301820314934,1
2,96,55,93,87.37825683570097,1
9,78,97,49,98.77314574756066,1
6,84,48,78,95.53829369446609,1
3,92,49,33,60.99377272678839,1
8,81,41,28,84.49754676593714,1
8,97,76,59,100.0,1
2,78,30,85,81.68789721040756,1
6,53,43,44,76.51544007473922,1
7,70,93,92,100.0,1
2,97,67,41,78.67783040960116,1
2,44,66,23,56.66123835134717,1
